game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2016_15_DET_NYG,2016,15,2016-12-18,NYG,0.014963902421617528,-0.20245581530061746,62,-0.10429577366819373,-0.15470844963021632,60.2
2016_16_NYG_PHI,2016,16,2016-12-22,NYG,-0.03511400976754316,-0.0779488858889434,88,-0.08903887302270275,-0.16895215208544168,58.6
2016_17_NYG_WAS,2016,17,2017-01-01,NYG,-0.07343100517154125,-0.3028340072112771,69,-0.1219956731325819,-0.19392233657734118,63.8
2017_01_NYG_DAL,2017,1,2017-09-10,NYG,-0.14266522179304536,0.08098915830137392,52,-0.14305045424788068,-0.18511045353504338,67.0
2017_02_DET_NYG,2017,2,2017-09-18,NYG,-0.2588003296484451,-0.07688955501562841,55,-0.11421002152588997,-0.1744252246177515,66.6
2017_03_NYG_PHI,2017,3,2017-09-24,NYG,0.01869233385434233,-0.016208909730060766,64,-0.09900933279179147,-0.1158278210230185,65.2
2017_04_NYG_TB,2017,4,2017-10-01,NYG,0.036291674644203256,0.08792098397380729,77,-0.09826364650524651,-0.07857843990890714,65.6
2017_05_LAC_NYG,2017,5,2017-10-08,NYG,-0.08526530687253116,0.06217546763054421,67,-0.08398250962289723,-0.04540446593635702,63.4
2017_06_NYG_DEN,2017,6,2017-10-15,NYG,-0.0531959207892999,-0.2716777206343898,54,-0.08634936996309521,0.027597429032007247,63.0
2017_07_SEA_NYG,2017,7,2017-10-22,NYG,-0.3298123622891969,0.030692889656861816,57,-0.06845550976234613,-0.04293594675514549,63.4
2017_09_LA_NYG,2017,9,2017-11-05,NYG,-0.09233382768408796,0.4097611597845472,65,-0.08265791629049649,-0.02141945782064745,63.8
2017_10_NYG_SF,2017,10,2017-11-12,NYG,0.14481979770030667,0.29797734117733776,64,-0.10486314859818253,0.06377455608227414,64.0
2017_11_KC_NYG,2017,11,2017-11-19,NYG,-0.08528354148317858,-0.15106098627497294,67,-0.08315752398696186,0.10578582752298024,61.4
2017_12_NYG_WAS,2017,12,2017-11-23,NYG,-0.35891504132484664,-0.1947226164014694,55,-0.08316117090909134,0.06313853674187682,61.4
2017_13_NYG_OAK,2017,13,2017-12-03,NYG,-0.1899935631457654,-0.025143166057625507,61,-0.1443049950162007,0.07852955758846089,61.6
2017_14_DAL_NYG,2017,14,2017-12-10,NYG,-0.11888164414092899,0.3452897044385453,75,-0.11634123518751438,0.06736234644556344,62.4
2017_15_PHI_NYG,2017,15,2017-12-17,NYG,0.08378892311335366,0.1412392031780533,82,-0.1216507984788826,0.05446805537636305,64.4
2017_16_NYG_ARI,2017,16,2017-12-24,NYG,-0.46682771434986947,-0.1811011140687558,67,-0.13385697339627317,0.023120427776506164,68.0
2017_17_WAS_NYG,2017,17,2017-12-31,NYG,-0.0833769777860387,-0.3836125615931993,72,-0.21016580796961137,0.017112402217749602,68.0
2018_01_JAX_NYG,2018,1,2018-09-09,NYG,-0.23678583271742631,-0.045552862887697894,63,-0.15505819526184977,-0.020665586820596382,71.4
2018_02_NYG_DAL,2018,2,2018-09-16,NYG,-0.10288731464304315,0.11244198391566995,67,-0.16441664917618196,-0.024747526186610858,71.8
2018_03_NYG_HOU,2018,3,2018-09-23,NYG,0.20846133609466935,0.07875388411240451,59,-0.1612177832766048,-0.07131707029118592,70.2
2018_04_NO_NYG,2018,4,2018-09-30,NYG,-0.013616682071698234,0.23396665558297314,59,-0.13628330068034167,-0.08381413410431568,65.6
2018_05_NYG_CAR,2018,5,2018-10-07,NYG,0.0819884565989548,-0.11521815767367806,55,-0.045641094224707406,-0.0008005801739698948,64.0
2018_06_PHI_NYG,2018,6,2018-10-11,NYG,-0.15177863144330103,0.2320725112169019,64,-0.01256800734770871,0.05287830060993435,60.6
2018_07_NYG_ATL,2018,7,2018-10-22,NYG,0.13786824863052116,0.14652891680514876,64,0.004433432907116347,0.10840337543085429,60.8
2018_08_WAS_NYG,2018,8,2018-10-28,NYG,-0.1797429592835375,0.012956243631717518,67,0.05258454556182921,0.11522076200875006,60.2
2018_10_NYG_SF,2018,10,2018-11-12,NYG,0.02483633591864045,-0.013997736352102792,55,-0.025056313513812163,0.10206123391261265,61.8
2018_11_TB_NYG,2018,11,2018-11-18,NYG,0.2901029029407051,0.20572219657804133,52,-0.017365709915744425,0.05246835552559749,61.0
2018_12_NYG_PHI,2018,12,2018-11-25,NYG,0.17815441376651214,0.14428345740245302,58,0.02425717935260564,0.11665642637594136,60.4
2018_13_CHI_NYG,2018,13,2018-12-02,NYG,-0.09121525382296089,-0.12285769661261157,68,0.09024378839456827,0.09909861561305158,59.2
2018_14_NYG_WAS,2018,14,2018-12-09,NYG,0.08929654678457488,-0.3107319676393201,62,0.044427087903871856,0.04522129292949952,60.0
2018_15_TEN_NYG,2018,15,2018-12-16,NYG,-0.25723180923211786,0.06616133457636089,63,0.09823498911749433,-0.019516349324708006,59.0
2018_16_NYG_IND,2018,16,2018-12-23,NYG,0.25821088160978517,0.211149807730239,61,0.04182136008734268,-0.0034845351390152685,60.6
2018_17_DAL_NYG,2018,17,2018-12-30,NYG,0.17317954488419818,0.24586653777433787,68,0.03544295582115868,-0.002399012908575737,62.4
2019_01_NYG_DAL,2019,1,2019-09-08,NYG,0.12706134733518093,0.40848113953737386,66,0.03444798204469589,0.017917603165801238,64.4
2019_02_BUF_NYG,2019,2,2019-09-15,NYG,-0.06591910502046353,0.1675119362874494,66,0.07810330227632425,0.12418537039579833,64.0
2019_03_NYG_TB,2019,3,2019-09-22,NYG,0.11518651024411668,0.11505223035551834,61,0.04706017191531657,0.2198341511811522,64.8
2019_04_WAS_NYG,2019,4,2019-09-29,NYG,-0.01616658519020403,-0.5490219237312646,66,0.12154383581056347,0.2296123303369837,64.4
2019_05_MIN_NYG,2019,5,2019-10-06,NYG,-0.20302538238670834,0.33807628478957824,62,0.06666834245056565,0.077577984044683,65.4
2019_06_NYG_NE,2019,6,2019-10-10,NYG,-0.5502478232776915,-0.07296505364760081,47,-0.008572643003615665,0.09601993344773108,64.2
2019_07_ARI_NYG,2019,7,2019-10-20,NYG,-0.19410667351825533,0.08215723873005833,65,-0.14403447712619016,-0.0002693051892638687,60.4
